# wave,flux
3.841666249189230257e+03,1.541450135883271834e-16
3.841864283467825771e+03,1.549563551119215126e-16
3.842062317756323864e+03,1.553866938044494233e-16
3.842260352034919833e+03,1.561934093892178199e-16
3.842458386323417471e+03,1.561906846694107093e-16
3.842656420602013895e+03,1.561879594018280278e-16
3.842854454890511988e+03,1.553758503155406201e-16
3.843052489179010990e+03,1.541261916678139142e-16
3.843250523457607414e+03,1.553704253006998692e-16
3.843448557746105053e+03,1.553677119756378119e-16
3.843646592024701022e+03,1.541181170202382625e-16
3.843844626313199115e+03,1.553622836905397396e-16
3.844042660601697207e+03,1.553595687303847053e-16
3.844240694880293177e+03,1.553568532253519559e-16
3.844438729168791269e+03,1.553541371751795158e-16
3.844636763447387239e+03,1.561606765915296216e-16
3.844834797735884877e+03,1.561579452972641944e-16
3.845032832024383879e+03,1.553459857548775496e-16
3.845230866302979393e+03,1.553432675249308191e-16
3.845428900591477941e+03,1.553405487498993962e-16
3.845626934879976034e+03,1.561470146423458268e-16
3.845824969158572003e+03,1.568364481801137416e-16
3.846023003447070096e+03,1.561415460283332674e-16
3.846222027899385466e+03,1.561387972227358811e-16
3.846420062187884923e+03,1.568281926803619096e-16
3.846618096466479983e+03,1.568254443243104194e-16
3.846816130754978531e+03,1.568656488894387011e-16
3.847014165043477078e+03,1.597892054959472362e-16
3.847212199322072593e+03,1.601124967981894731e-16
3.847410233610571140e+03,1.601096884424120981e-16
3.847608267899068778e+03,1.597807975877002152e-16
3.847806302177665202e+03,1.568518923401423213e-16
3.848004336466163295e+03,1.568491393796630375e-16
3.848202370754661843e+03,1.568463858690385432e-16
3.848400405033257812e+03,1.568006843657817944e-16
3.848598439321755905e+03,1.568408771975700218e-16
3.848796473610255362e+03,1.597639666396839579e-16
3.848994507888849967e+03,1.597611595205123408e-16
3.849192542177348969e+03,1.597583518408961454e-16
3.849390576455944029e+03,1.600815739999253516e-16
3.849588610744442576e+03,1.600787594675459384e-16
3.849786645032940669e+03,1.600759443737872204e-16
3.849984679311536638e+03,1.600731287188137493e-16
3.850182713600034276e+03,1.600703125023682578e-16
3.850380747888532824e+03,1.601976241404894798e-16
3.850578782177030917e+03,1.606437491920544279e-16
3.850776816455627340e+03,1.606409210975044996e-16
3.850974850744124979e+03,1.606380924395535148e-16
3.851172885032623981e+03,1.607564343279038691e-16
3.851370919311219950e+03,1.607536024090806412e-16
3.851569943773437899e+03,1.607507557626518261e-16
3.851767978052033413e+03,1.613341182717636997e-16
3.851966012340531961e+03,1.607450891013296030e-16
3.852164046629030054e+03,1.606210945035832034e-16
3.852362080907626023e+03,1.606182619009196789e-16
3.852560115196124116e+03,1.606154287350832758e-16
3.852758149484623118e+03,1.607337490165934388e-16
3.852956183773121211e+03,1.607309125868115384e-16
3.853154218051716725e+03,1.607280755938092553e-16
3.853352252340215273e+03,1.606040904421887473e-16
3.853550286628713820e+03,1.606012544616666330e-16
3.853748320907308880e+03,1.607195612346695055e-16
3.853946355195807882e+03,1.607167219884030939e-16
3.854144389484305975e+03,1.605927431433390799e-16
3.854342423772804068e+03,1.605899049116619060e-16
3.854540458051400037e+03,1.605870661174243794e-16
3.854738492339898130e+03,1.601354484243637215e-16
3.854936526628396678e+03,1.596766713953766332e-16
3.855134560906992192e+03,1.596738469165222231e-16
3.855332595195490285e+03,1.596710218781387815e-16
3.855530629483988832e+03,1.592569258485587035e-16
3.855728663772486925e+03,1.592541069710756402e-16
3.855926698051083349e+03,1.596625434071777158e-16
3.856124732339580987e+03,1.596597161316201965e-16
3.856322766628079989e+03,1.592456469919178578e-16
3.856520800916577628e+03,1.581076896774728051e-16
3.856718835195174051e+03,1.581048881251322356e-16
3.856917859657392000e+03,1.567410979676818167e-16
3.857115893945890548e+03,1.564195163840455366e-16
3.857313928224486062e+03,1.564167429513267795e-16
3.857511962512984610e+03,1.567327607114534662e-16
3.857709996801482248e+03,1.580908580357416601e-16
3.857908031089980796e+03,1.580880531591437011e-16
3.858106065368576765e+03,1.580852477292755825e-16
3.858304099657075312e+03,1.580824417459001037e-16
3.858502133945573860e+03,1.592145699976421866e-16
3.858700168234071953e+03,1.580768281192241094e-16
3.858898202512667922e+03,1.575006496269790615e-16
3.859096236801166015e+03,1.574978516165535999e-16
3.859294271089665017e+03,1.567077193157916777e-16
3.859492305378162200e+03,1.567049341961869869e-16
3.859690339666660748e+03,1.567021485282929795e-16
3.859888373945256717e+03,1.566993623122956788e-16
3.860086408233754810e+03,1.574838532984449180e-16
3.860284442522252903e+03,1.580543514871240249e-16
3.860482476810751905e+03,1.574782501145007609e-16
3.860680511099249998e+03,1.566882119662733411e-16
3.860878545377845512e+03,1.574726447274783515e-16
3.861076579666344060e+03,1.580430999009456296e-16
3.861274613954842152e+03,1.580402856225899542e-16
3.861472648243340700e+03,1.580374707916247408e-16
3.861670682531839248e+03,1.616450131406164722e-16
3.861868716810434307e+03,1.619547841568080256e-16
3.862066751098932855e+03,1.625063922466358590e-16
3.862264785387431857e+03,1.625034953917254630e-16
3.862463809849649806e+03,1.625005834802419100e-16
3.862661844128244866e+03,1.624976854866955013e-16
3.862859878416743868e+03,1.619403320299433396e-16
3.863057912705241961e+03,1.619374427927674003e-16
3.863255946993740963e+03,1.624889880985214285e-16
3.863453981282239056e+03,1.639865938175472014e-16
3.863652015560834570e+03,1.639836661968877059e-16
3.863850049849332663e+03,1.624802856010323126e-16
3.864048084137831211e+03,1.619229881206080718e-16
3.864246118426329758e+03,1.619200954892658156e-16
3.864444152714827851e+03,1.619172022924329090e-16
3.864642187003325944e+03,1.619143085301689602e-16
3.864840221281921913e+03,1.619114142026785554e-16
3.865038255570420915e+03,1.619085193097325797e-16
3.865236289858918099e+03,1.624599599120802081e-16
3.865434324147416646e+03,1.624570539732265776e-16
3.865632358435915194e+03,1.630818468210795005e-16
3.865830392724412832e+03,1.624512403943963152e-16
3.866028427012911834e+03,1.618940363674858600e-16
3.866226461291507349e+03,1.618911380841135079e-16
3.866424495580005896e+03,1.618882392357209128e-16
3.866622529868503989e+03,1.624396064341527544e-16
3.866820564157002536e+03,1.624366965271932345e-16
3.867018598445501084e+03,1.626329137524487820e-16
3.867216632733999177e+03,1.630584844458632595e-16
3.867414667022496815e+03,1.639279326307064234e-16
3.867612701301092784e+03,1.639249935648609004e-16
3.867811725763312097e+03,1.639220392276306380e-16
3.868009760051809735e+03,1.639190990156884996e-16
3.868207794340307828e+03,1.630438498503361551e-16
3.868405828628806830e+03,1.626124849912956002e-16
3.868603862917304923e+03,1.626095664108593860e-16
3.868801897205803016e+03,1.630350710401276312e-16
3.868999931484398985e+03,1.639043893858622296e-16
3.869197965772897533e+03,1.630292156593936223e-16
3.869396000061395171e+03,1.630262871169422212e-16
3.869594034349893718e+03,1.629900903643105062e-16
3.869792068638391811e+03,1.629871612839556107e-16
3.869990102926889449e+03,1.629842316359479942e-16
3.870188137215388906e+03,1.627727672369828780e-16
3.870386171503886999e+03,1.625832736939579145e-16
3.870584205792385546e+03,1.625803494496956193e-16
3.870782240080884094e+03,1.627639844374403164e-16
3.870980274359480063e+03,1.627610557045219009e-16
3.871178308647978156e+03,1.625715733214484138e-16
3.871376342936475794e+03,1.618155700708755960e-16
3.871574377224974342e+03,1.625657197402618064e-16
3.871772411513471980e+03,1.625627921012180062e-16
3.871970445801970982e+03,1.613989298318937066e-16
3.872168480090469529e+03,1.613960219779048304e-16
3.872366514378968077e+03,1.625540057912034941e-16
3.872564548667466170e+03,1.627376054529399406e-16
3.872762582955963808e+03,1.627346716242610598e-16
3.872960617244462355e+03,1.629402188481158088e-16
3.873159641696778181e+03,1.629705222931935495e-16
3.873357675985276728e+03,1.629343261434800400e-16
3.873555710273774821e+03,1.627229159706616683e-16
3.873753744562273823e+03,1.627199793109953397e-16
3.873951778850771916e+03,1.629255048777739038e-16
3.874149813139270009e+03,1.629225633236966822e-16
3.874347847427769011e+03,1.629528744625901011e-16
3.874545881716266194e+03,1.629499311760657400e-16
3.874743916004764742e+03,1.629137352660870349e-16
3.874941950293263289e+03,1.629107914487005519e-16
3.875139984581761382e+03,1.629078470656949573e-16
3.875338018870259930e+03,1.628541519721770292e-16
3.875536053158759387e+03,1.628512073758088665e-16
3.875734087447257025e+03,1.626905816314338270e-16
3.875932121735754208e+03,1.626876387570222604e-16
3.876130156024252756e+03,1.626846953181396953e-16
3.876328190312751303e+03,1.626817513148725120e-16
3.876526224601249851e+03,1.628364759178440690e-16
3.876724258889747944e+03,1.628842716495498800e-16
3.876922293178247401e+03,1.628813221798107062e-16
3.877120327466744584e+03,1.628276302652801499e-16
3.877318361755243131e+03,1.628246805853202190e-16
3.877516396043741224e+03,1.627803929640168175e-16
3.877714430332239317e+03,1.626611274965626210e-16
3.877912464620737865e+03,1.624808112389452300e-16
3.878110498909236867e+03,1.626552299025942020e-16
3.878308533197735414e+03,1.627685893417802417e-16
3.878507557650049421e+03,1.628069558895708158e-16
3.878705591938548878e+03,1.628040022578481967e-16
3.878903626227046971e+03,1.627597159362586120e-16
3.879101660515545063e+03,1.626404612972633014e-16
3.879299694804044066e+03,1.624601636330162184e-16
3.879497729092541704e+03,1.626345558118876173e-16
