# wave,flux
3.800039443120000215e+03,1.307992127840000067e-18
3.800237477399999989e+03,1.307970361890000072e-18
3.800435511680000218e+03,1.307948591470000068e-18
3.800633545959999992e+03,1.307926816560000045e-18
3.800831580250000115e+03,1.307905037170000200e-18
3.801029614519999996e+03,1.307883253290000142e-18
3.801227648800000225e+03,1.431355184650000168e-18
3.801425683079999999e+03,1.698428064660000175e-18
3.801623717359999773e+03,1.793418107320000317e-18
3.801821751640000002e+03,1.915720619900000272e-18
3.802019785919999777e+03,2.000963142730000209e-18
3.802217820200000006e+03,2.000929771080000040e-18
3.802415854469999886e+03,2.001920180850000194e-18
3.802613888760000009e+03,2.523875292770000124e-18
3.802811923039999783e+03,2.523833171990000324e-18
3.803009957320000012e+03,2.001819952790000009e-18
3.803207991599999787e+03,2.001786529680000291e-18
3.803406025880000016e+03,2.001753099700000076e-18
3.803604060159999790e+03,2.001719662830000122e-18
3.803802094430000125e+03,2.228875872550000030e-18
3.804000128719999793e+03,2.523580265170000330e-18
3.804198163000000022e+03,2.534666263350000173e-18
3.804396197279999797e+03,2.636736094150000290e-18
3.804594231560000026e+03,2.534581502160000303e-18
3.804792265839999800e+03,2.534539108480000251e-18
3.804990300120000029e+03,2.694658503870000066e-18
3.805189324569999826e+03,2.935206428210000182e-18
3.805387358850000055e+03,2.935157300799999980e-18
3.805585393140000178e+03,3.266686036230000171e-18
3.805783427410000058e+03,3.380935397850000266e-18
3.805981461689999833e+03,3.266576625340000267e-18
3.806179495970000062e+03,3.266521903010000403e-18
3.806377530249999836e+03,3.380765486420000297e-18
3.806575564530000065e+03,3.493866011709999946e-18
3.806773598820000188e+03,3.380652153860000241e-18
3.806971633099999963e+03,3.380595470100000230e-18
3.807169667369999843e+03,3.493690268539999937e-18
3.807367701650000072e+03,3.493631663380000309e-18
3.807565735929999846e+03,3.380425348820000216e-18
3.807763770210000075e+03,3.380368618400000093e-18
3.807961804500000198e+03,3.380311876300000222e-18
3.808159838779999973e+03,3.380255122540000229e-18
3.808357873060000202e+03,3.380198357100000103e-18
3.808555907330000082e+03,3.380141579990000428e-18
3.808753941609999856e+03,3.380084791200000234e-18
3.808951975899999979e+03,3.493162387930000023e-18
3.809150010180000208e+03,3.654381168249999928e-18
3.809348044459999983e+03,3.979356456770000461e-18
3.809546078740000212e+03,3.979289541240000113e-18
3.809744113019999986e+03,3.979222611950000684e-18
3.809942147300000215e+03,3.979155668890000436e-18
3.810140181579999989e+03,3.979088712080000535e-18
3.810338215860000219e+03,3.979021741490000385e-18
3.810536250139999993e+03,3.978954757150000583e-18
3.810734284430000116e+03,3.920146677020000471e-18
3.810933308879999913e+03,3.653827470860000686e-18
3.811131343160000142e+03,3.653765919840000226e-18
3.811329377439999917e+03,3.919948238290000209e-18
3.811527411720000146e+03,3.978619293530000337e-18
3.811725445999999920e+03,3.978552226470000562e-18
3.811923480280000149e+03,3.978485145620000339e-18
3.812121514559999923e+03,3.919683903380000611e-18
3.812319548840000152e+03,3.978350942580000691e-18
3.812517583119999927e+03,3.978283820390000494e-18
3.812715617410000050e+03,3.919485509600000390e-18
3.812913651689999824e+03,3.375272275080000276e-18
3.813111685970000053e+03,3.375215289960000128e-18
3.813309720239999933e+03,3.919286993530000713e-18
3.813507754530000057e+03,3.977948002520000659e-18
3.813705788809999831e+03,3.977880797560000266e-18
3.813903823090000060e+03,3.977813578799999997e-18
3.814101857369999834e+03,3.977746346240000624e-18
3.814299891659999957e+03,3.977679099870000407e-18
3.814497925940000187e+03,3.977611839700000314e-18
3.814695960210000067e+03,3.977544565720000147e-18
3.814893994489999841e+03,4.185974473699999916e-18
3.815092028779999964e+03,4.185903644190000024e-18
3.815290063060000193e+03,4.044971701850000306e-18
3.815488097339999968e+03,4.185761941550000427e-18
3.815686131630000091e+03,4.185691068420000722e-18
3.815884165899999971e+03,4.044766237499999902e-18
3.816082200180000200e+03,4.044697721280000033e-18
3.816280234459999974e+03,4.044629190999999746e-18
3.816479258910000226e+03,3.918225841840000698e-18
3.816677293199999895e+03,3.374187268860000420e-18
3.816875327480000124e+03,3.918092994220000280e-18
3.817073361759999898e+03,3.918026549980000229e-18
3.817271396050000021e+03,3.917960092110000598e-18
3.817469430329999796e+03,4.044217370950000643e-18
3.817667464610000025e+03,4.147567203080000490e-18
3.817865498889999799e+03,5.881799856840000216e-18
3.818063533170000028e+03,5.881700000680000476e-18
3.818261567449999802e+03,4.147355965139999984e-18
3.818459601730000031e+03,4.043874086310000500e-18
3.818657636020000155e+03,4.147215067680000279e-18
3.818855670299999929e+03,5.323268105150000486e-18
3.819053704580000158e+03,4.147074112470000495e-18
3.819251738859999932e+03,4.147003613210000308e-18
3.819449773140000161e+03,4.146933099510000629e-18
3.819647807419999936e+03,5.322906097120000752e-18
3.819845841710000059e+03,5.322815548760000267e-18
