# wave,flux
3.826024511319999874e+03,1.122407415970000054e-17
3.826222545590000209e+03,1.122388185970000059e-17
3.826420579869999983e+03,1.122368952050000003e-17
3.826619604319999780e+03,1.122349617999999879e-17
3.826817638609999904e+03,1.096936432320000007e-17
3.827015672890000133e+03,1.122311130510000012e-17
3.827213707179999801e+03,1.122291880869999998e-17
3.827411741460000030e+03,1.115732714690000053e-17
3.827609775750000153e+03,1.115713569430000098e-17
3.827807810029999928e+03,1.096842342690000028e-17
3.828005844299999808e+03,1.096823513260000066e-17
3.828203878589999931e+03,1.012559301510000088e-17
3.828401912870000160e+03,9.920054644520000343e-18
3.828599947159999829e+03,9.673533895500000090e-18
3.828797981440000058e+03,9.673367683730001345e-18
3.828996015719999832e+03,9.673201438110001186e-18
3.829194050009999955e+03,9.673035158640001154e-18
3.829392084279999835e+03,9.919202247999999962e-18
3.829590118569999959e+03,9.919031664570000558e-18
3.829788152850000188e+03,9.918861046440000575e-18
3.829986187139999856e+03,9.918690393590001155e-18
3.830184221420000085e+03,9.672203253610000446e-18
3.830382255710000209e+03,9.672036771040001178e-18
3.830580289989999983e+03,9.671870254630001467e-18
3.830778324259999863e+03,9.458334995760000347e-18
3.830976358549999986e+03,9.424267292290000549e-18
3.831174392830000215e+03,9.409791569070000868e-18
3.831372427119999884e+03,9.292204930110000285e-18
3.831570461400000113e+03,9.292044776540000697e-18
3.831768495689999781e+03,9.291884590430000295e-18
3.831967520140000033e+03,9.291723570600000066e-18
3.832165554419999808e+03,9.408979705780001398e-18
3.832363588709999931e+03,9.291403035350000196e-18
3.832561622979999811e+03,9.408655054060000228e-18
3.832759657269999934e+03,9.456703598380001108e-18
3.832957691550000163e+03,9.669868581640001277e-18
3.833155725839999832e+03,9.669701624790000867e-18
3.833353760120000061e+03,9.669534634080001156e-18
3.833551794410000184e+03,9.456050437780000091e-18
3.833749828689999958e+03,9.407680307940000423e-18
3.833947862970000187e+03,9.407517734890001468e-18
3.834145897249999962e+03,9.455560219480001301e-18
3.834343931540000085e+03,9.455396747110001348e-18
3.834541965819999859e+03,9.407029817980000509e-18
3.834740000109999983e+03,9.289477089980000330e-18
3.834938034390000212e+03,9.289316382950001382e-18
3.835136068679999880e+03,9.289155643350000255e-18
3.835334102950000215e+03,9.288994871210001395e-18
3.835532137239999884e+03,9.288834066510001325e-18
3.835730171520000113e+03,9.406053094050001047e-18
3.835928205809999781e+03,9.288512359420001206e-18
3.836126240090000010e+03,8.992059602220000436e-18
3.836324274380000134e+03,9.288190522110001263e-18
3.836522308659999908e+03,9.405401285370001380e-18
3.836720342940000137e+03,9.453432494070001249e-18
3.836918377219999911e+03,9.453268590910000465e-18
3.837116411510000034e+03,9.453104654599999848e-18
3.837315435959999832e+03,9.287384553410001148e-18
3.837513470249999955e+03,9.287223422940000231e-18
3.837711504530000184e+03,9.452611826560000209e-18
3.837909538819999852e+03,1.015409940530000011e-17
3.838107573100000081e+03,1.015392312190000007e-17
3.838305607390000205e+03,1.015374680280000117e-17
3.838503641669999979e+03,1.015357044819999966e-17
3.838701675950000208e+03,1.015339405790000082e-17
3.838899710229999982e+03,9.451626915080000765e-18
3.839097744520000106e+03,9.285933206800000410e-18
3.839295778799999880e+03,9.451298346080000752e-18
3.839493813090000003e+03,9.451134011860000708e-18
3.839691847380000127e+03,9.450969644490000829e-18
3.839889881650000007e+03,1.015233496860000118e-17
3.840087915940000130e+03,1.015215832910000101e-17
3.840285950219999904e+03,1.016565330839999976e-17
3.840483984510000028e+03,1.076540919780000023e-17
3.840682018789999802e+03,1.076522176840000044e-17
3.840880053079999925e+03,1.076503430120000012e-17
3.841078087360000154e+03,1.076484679629999971e-17
3.841276121639999928e+03,1.076465925370000076e-17
3.841474155930000052e+03,1.076447167320000084e-17
3.841672190209999826e+03,1.064259954700000008e-17
3.841870224499999949e+03,1.016423672049999984e-17
3.842068258780000178e+03,1.064222844040000037e-17
3.842266293069999847e+03,1.016388221690000048e-17
3.842464327350000076e+03,1.064185718459999976e-17
3.842663351810000222e+03,1.076453375460000056e-17
3.842861386089999996e+03,1.064148485069999977e-17
3.843059420380000120e+03,1.014950357760000113e-17
3.843257454659999894e+03,1.014932636820000014e-17
3.843455488940000123e+03,1.014914912320000072e-17
3.843653523229999792e+03,1.014897184259999979e-17
3.843851557510000021e+03,1.014879452640000043e-17
3.844049591800000144e+03,1.064036973810000065e-17
3.844247626089999812e+03,1.064018375540000062e-17
3.844445660370000041e+03,1.063999773530000030e-17
3.844643694649999816e+03,1.076265339860000039e-17
3.844841728930000045e+03,1.122385660670000070e-17
3.845039763220000168e+03,1.076227687430000116e-17
3.845237797509999837e+03,1.076208855550000021e-17
3.845435831790000066e+03,1.076190019899999917e-17
3.845633866080000189e+03,1.076171180470000069e-17
3.845831900359999963e+03,1.063869454970000027e-17
3.846029934640000192e+03,1.063850823110000077e-17
3.846227968929999861e+03,1.076114639530000031e-17
3.846426003210000090e+03,1.063813548179999982e-17
3.846624037500000213e+03,9.754680065890001467e-18
3.846822071789999882e+03,9.754509080400001090e-18
3.847020106070000111e+03,9.754338060690000423e-18
3.847218140349999885e+03,9.754167006760001008e-18
3.847416174640000008e+03,9.753995918610001303e-18
3.847614208919999783e+03,1.063701633840000097e-17
3.847812243209999906e+03,1.063682968390000047e-17
3.848011267660000158e+03,1.063664205850000072e-17
3.848209301949999826e+03,1.063645532930000009e-17
3.848407336239999950e+03,1.092554070330000053e-17
3.848605370520000179e+03,1.103380112320000066e-17
3.848803404809999847e+03,1.103360729530000112e-17
3.849001439090000076e+03,1.103341342880000057e-17
3.849199473369999851e+03,1.121952676729999999e-17
3.849397507659999974e+03,1.121932954840000032e-17
3.849595541950000097e+03,1.103283159700000050e-17
3.849793576229999871e+03,1.092419670810000012e-17
3.849991610519999995e+03,1.063477308700000017e-17
3.850189644810000118e+03,1.092381236470000062e-17
3.850387679079999998e+03,1.063439884509999981e-17
3.850585713370000121e+03,1.063421166820000063e-17
3.850783747659999790e+03,1.046856452580000049e-17
3.850981781940000019e+03,1.063383720260000012e-17
3.851179816230000142e+03,1.092285083579999994e-17
3.851377850519999811e+03,1.092265841509999976e-17
3.851575884800000040e+03,1.092246595609999990e-17
3.851773919079999814e+03,1.092227345890000082e-17
3.851971953369999937e+03,1.092208092330000007e-17
3.852169987650000166e+03,1.091355704510000036e-17
3.852368021939999835e+03,1.092169573729999999e-17
3.852566056229999958e+03,1.092150308690000066e-17
3.852764090510000187e+03,1.092131039820000012e-17
3.852962124799999856e+03,1.092111767119999989e-17
3.853160159080000085e+03,1.092092490589999999e-17
3.853359183539999776e+03,1.092073113830000112e-17
3.853557217820000005e+03,1.092053829629999988e-17
3.853755252110000129e+03,1.092034541600000051e-17
3.853953286389999903e+03,1.102855321949999975e-17
3.854151320680000026e+03,1.091995954070000054e-17
3.854349354970000149e+03,1.091143685979999992e-17
3.854547389259999818e+03,1.064423948930000077e-17
3.854745423540000047e+03,1.046486987060000075e-17
3.854943457819999821e+03,1.043458715619999986e-17
3.855141492109999945e+03,1.046449969030000026e-17
3.855339526400000068e+03,1.064348645210000075e-17
3.855537560679999842e+03,1.064329809960000059e-17
3.855735594969999966e+03,1.046394414490000055e-17
3.855933629260000089e+03,1.046375888980000008e-17
3.856131663550000212e+03,1.046357359799999936e-17
3.856329697820000092e+03,1.046338826960000038e-17
3.856527732110000215e+03,1.064235577790000044e-17
3.856725766399999884e+03,1.064216720170000013e-17
3.856923800680000113e+03,1.046283206460000064e-17
3.857121834969999782e+03,1.043255480919999999e-17
3.857319869259999905e+03,9.831850050800000494e-18
3.857517903550000028e+03,1.043218481660000098e-17
3.857715937829999802e+03,9.831501287260000780e-18
3.857913972110000032e+03,9.831326853870000892e-18
3.858112006400000155e+03,9.467324211790001134e-18
3.858310040689999823e+03,9.467156167490001266e-18
3.858508074979999947e+03,9.466988090040001563e-18
3.858707099430000198e+03,9.290593141680000243e-18
3.858905133719999867e+03,9.466650994960001476e-18
3.859103168009999990e+03,9.466482817960000284e-18
3.859301202290000219e+03,9.291435561090000289e-18
3.859499236569999994e+03,9.291270425940000804e-18
3.859697270860000117e+03,9.465978088210001453e-18
3.859895305149999785e+03,9.506085434999999160e-18
3.860093339439999909e+03,9.465641436110000134e-18
3.860291373720000138e+03,9.465473060399999859e-18
3.860489408009999806e+03,9.465304651570001116e-18
3.860687442299999930e+03,9.465136209640001220e-18
3.860885476580000159e+03,9.505239808110000619e-18
3.861083510869999827e+03,9.464799226470000085e-18
3.861281545150000056e+03,9.289782746990001072e-18
3.861479579440000180e+03,9.289617286870001225e-18
3.861677613729999848e+03,9.464293503490001409e-18
3.861875648019999971e+03,9.464124862980001161e-18
3.862073682310000095e+03,9.463956189390000158e-18
3.862271716579999975e+03,9.463787482720001481e-18
3.862469750870000098e+03,9.379079301770000851e-18
3.862667785160000221e+03,9.288623844210000548e-18
3.862865819449999890e+03,9.288458156800000889e-18
3.863063853740000013e+03,9.288292436930000465e-18
3.863261888019999788e+03,9.288126684610000246e-18
3.863459922300000017e+03,9.287960899840000230e-18
3.863657956590000140e+03,9.287795082610000990e-18
3.863855990879999808e+03,9.287629232940001383e-18
3.864055015339999954e+03,9.287462521340000095e-18
3.864253049620000183e+03,9.377571897880000501e-18
3.864451083909999852e+03,9.461928681390001358e-18
3.864649118199999975e+03,9.502018001080001086e-18
3.864847152490000099e+03,9.517775680070000844e-18
3.865045186780000222e+03,1.007401630050000076e-17
3.865243221069999890e+03,1.007383614250000074e-17
3.865441255340000225e+03,9.517265057770001582e-18
3.865639289629999894e+03,9.517094783890001300e-18
3.865837323920000017e+03,9.516924476790000563e-18
3.866035358210000140e+03,1.007311515899999948e-17
3.866233392499999809e+03,1.007293482530000063e-17
3.866431426789999932e+03,1.007275445640000051e-17
3.866629461070000161e+03,1.007257405230000066e-17
3.866827495349999936e+03,1.037667650440000068e-17
3.867025529640000059e+03,1.042295125030000003e-17
3.867223563930000182e+03,1.042276445510000106e-17
3.867421598219999851e+03,1.042257762350000011e-17
3.867619632509999974e+03,1.037593258180000012e-17
3.867817666800000097e+03,1.037574651060000008e-17
3.868015701079999872e+03,1.037556040330000093e-17
3.868213735360000101e+03,1.037537425990000112e-17
3.868411769650000224e+03,1.037518808030000021e-17
3.868609803939999892e+03,1.042145587099999926e-17
3.868807838230000016e+03,1.042126878510000045e-17
3.869005872520000139e+03,1.037462932440000055e-17
3.869203906809999808e+03,1.037444300010000030e-17
3.869402931269999954e+03,1.042070637350000113e-17
3.869600965550000183e+03,1.042051914219999986e-17
3.869798999829999957e+03,1.042033187460000012e-17
3.869997034120000080e+03,1.042014457070000037e-17
3.870195068410000204e+03,1.052958714099999979e-17
3.870393102699999872e+03,1.041976985399999932e-17
3.870591136989999995e+03,1.037313678560000081e-17
3.870789171280000119e+03,1.037295017209999969e-17
3.870987205569999787e+03,9.921642430180000989e-18
3.871185239850000016e+03,1.037257683690000055e-17
3.871383274140000140e+03,1.052845050389999981e-17
3.871581308429999808e+03,1.037220335730000033e-17
3.871779342710000037e+03,9.920927956910001009e-18
3.871977377000000160e+03,9.920749252290000944e-18
3.872175411289999829e+03,1.037164286719999992e-17
3.872373445579999952e+03,1.037145596500000016e-17
