# wave,flux
3.815478195629999846e+03,2.367429561999999743e-17
3.815676229910000075e+03,2.367389477230000146e-17
3.815874264189999849e+03,2.367349384250000011e-17
3.816072298470000078e+03,2.549214141099999843e-17
3.816270332749999852e+03,2.549170949640000138e-17
3.816468367030000081e+03,2.549127749320000080e-17
3.816666401309999856e+03,2.367188930029999983e-17
3.816864435599999979e+03,2.367148795900000104e-17
3.817062469880000208e+03,2.340925339970000084e-17
3.817260504159999982e+03,2.353735110810000115e-17
3.817458538440000211e+03,2.353695178199999826e-17
3.817656572719999986e+03,2.366988177080000176e-17
3.817854607000000215e+03,2.392245590260000224e-17
3.818052641279999989e+03,2.548781827650000103e-17
3.818250675570000112e+03,2.548738547529999990e-17
3.818448709849999887e+03,2.392123726290000143e-17
3.818646744130000116e+03,2.353455410560000116e-17
3.818844778419999784e+03,2.353415420620000077e-17
3.819042812690000119e+03,2.353375422490000206e-17
3.819240846969999893e+03,2.391961124420000006e-17
3.819438881260000016e+03,2.548478680570000027e-17
3.819636915539999791e+03,2.506309832140000085e-17
3.819834949820000020e+03,2.506267197640000239e-17
3.820033974269999817e+03,2.391798185780000225e-17
3.820232008559999940e+03,2.391757481120000096e-17
3.820430042840000169e+03,2.353095005770000021e-17
3.820628077119999944e+03,2.344092398860000200e-17
3.820826111410000067e+03,2.344052479539999978e-17
3.821024145679999947e+03,2.344012552050000013e-17
3.821222179960000176e+03,2.340089593830000124e-17
3.821420214249999844e+03,2.343932672550000192e-17
3.821618248530000074e+03,2.352854500230000141e-17
3.821816282809999848e+03,2.343852760360000123e-17
3.822014317099999971e+03,2.339930034210000088e-17
3.822212351380000200e+03,2.343772815470000067e-17
3.822410385650000080e+03,2.343732830769999963e-17
3.822608419940000203e+03,2.352653853329999977e-17
3.822806454219999978e+03,2.352613699329999979e-17
3.823004488510000101e+03,2.343612827579999955e-17
3.823202522789999875e+03,2.343572810170000128e-17
3.823400557070000104e+03,2.343532784580000206e-17
3.823598591359999773e+03,2.343492750799999835e-17
3.823796625630000108e+03,2.343452708850000029e-17
3.823994659909999882e+03,2.343412658710000083e-17
3.824192694200000005e+03,2.343372600400000086e-17
