#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3278.5528776750443	2.992701575877654e-18	2.992701575877654e-18	3.391899317802999e-17
3278.750911894225	5.8064688038797685e-18	5.8064688038797685e-18	3.483730053925e-17
3278.9489461233084	5.8063198525417446e-18	5.8063198525417446e-18	3.435434998492e-17
3279.146980342489	5.80617099408873e-18	5.80617099408873e-18	3.465218202075001e-17
3279.345014571572	6.013688957457645e-18	6.013688957457645e-18	3.478762346547999e-17
3279.543048800655	8.084600005872226e-18	8.084600005872226e-18	3.518168016117999e-17
3279.7410830198355	9.288313462726694e-18	9.288313462726694e-18	3.547045754079e-17
3279.9391172489186	9.288075904490164e-18	9.288075904490164e-18	3.531505448988001e-17
3280.137151468099	9.287838494472126e-18	9.287838494472126e-18	3.446030991027e-17
3280.335185697182	9.61126584389733e-18	9.61126584389733e-18	3.422712143857999e-17
3280.5332199262657	9.611020466842712e-18	9.611020466842712e-18	3.364712378384e-17
3280.731254145446	1.0015744044336869e-17	1.0015744044336869e-17	3.421113244313999e-17
3280.9292883745293	9.61053017205839e-18	9.61053017205839e-18	3.511628326239999e-17
3281.1273225937102	9.610285254167532e-18	9.610285254167532e-18	3.38777757813e-17
3281.325356822793	9.286417142316032e-18	9.286417142316032e-18	3.44021637426e-17
3281.523391051876	9.286180767559363e-18	9.286180767559363e-18	3.520781025318001e-17
3281.721425271057	9.285944540398288e-18	9.285944540398288e-18	3.554849930479e-17
3281.91945950014	9.285708460730598e-18	9.285708460730598e-18	3.548610121419999e-17
3282.117493729223	8.081920408318489e-18	8.081920408318489e-18	3.572875902438e-17
3282.315527948404	5.803801850802699e-18	5.803801850802699e-18	3.592412505042e-17
3282.513562177487	2.9911743140984027e-18	2.9911743140984027e-18	3.489928035538e-17
3282.712586570388	5.8035066331909585e-18	5.8035066331909585e-18	3.436940290050001e-17
3282.910620799471	5.8033595306667135e-18	5.8033595306667135e-18	3.43008786006e-17
3283.1086550285536	5.8032125200445744e-18	5.8032125200445744e-18	3.396330594120001e-17
3283.3066892477345	5.8030656012820745e-18	5.8030656012820745e-18	3.490781611087001e-17
3283.5047234768176	5.802918774314612e-18	5.802918774314612e-18	3.527102112592e-17
3283.702757695998	8.080281186302125e-18	8.080281186302125e-18	3.562817376762001e-17
3283.900791925081	8.080076987203884e-18	8.080076987203884e-18	3.575995805034e-17
3284.0988261541647	8.079872915729911e-18	8.079872915729911e-18	3.546384156048e-17
3284.296860373345	8.07966897182036e-18	8.07966897182036e-18	3.536189696092999e-17
3284.4948946024283	9.2826516415571e-18	9.2826516415571e-18	3.549025705019999e-17
3284.6929288315114	9.605901586387095e-18	9.605901586387095e-18	3.526367139485e-17
3284.890963050692	1.0624660616156417e-17	1.0624660616156417e-17	3.468300227590002e-17
3285.088997279775	9.60541768519731e-18	9.60541768519731e-18	3.323675916904e-17
3285.287031508858	9.605175961495194e-18	9.605175961495194e-18	3.52834915545e-17
3285.4850657280385	9.604934388958805e-18	9.604934388958805e-18	3.417440071484e-17
3285.683099957122	9.604692967479599e-18	9.604692967479599e-18	3.519987781808e-17
3285.881134186205	9.604451696985139e-18	9.604451696985139e-18	3.39428788286e-17
3286.0791684053856	9.280783556018314e-18	9.280783556018314e-18	3.448188363576e-17
3286.2772026344687	9.603969608623579e-18	9.603969608623579e-18	3.41483778264e-17
3286.475236863552	9.603728790574592e-18	9.603728790574592e-18	3.427182177094e-17
3286.6732710827323	9.280085430837527e-18	9.280085430837527e-18	3.469965363410001e-17
3286.871305311816	9.279853013529075e-18	9.279853013529075e-18	3.524712544626001e-17
3287.069339540899	9.603007239968703e-18	9.603007239968703e-18	3.488888083754999e-17
3287.267373769982	9.602767023987567e-18	9.602767023987567e-18	3.421793888188001e-17
3287.4654079891625	9.60252695832138e-18	9.60252695832138e-18	3.386022448686999e-17
3287.6634422182456	3.787646403134066e-18	3.787646403134066e-18	3.494415692268e-17
3287.8614764473286	2.842996865452864e-18	2.842996865452864e-18	3.493353213630001e-17
3288.059510666509	2.767137017563621e-19	2.767137017563621e-19	3.452155278480999e-17
3288.2585350693125	2.84285466373902e-18	2.84285466373902e-18	3.378266929632e-17
3288.456569288493	2.8427838068784785e-18	2.8427838068784785e-18	3.399409818900001e-17
3288.654603517576	2.8427129943630347e-18	2.8427129943630347e-18	3.328863139503001e-17
3288.8526377466596	2.842642226170531e-18	2.842642226170531e-18	3.421637747250001e-17
3289.05067196584	2.842571502278759e-18	2.842571502278759e-18	3.47192898051e-17
3289.248706194923	2.7062732179668423e-18	2.7062732179668423e-18	3.343417062552e-17
3289.4467404240063	2.766654500856906e-19	2.766654500856906e-19	3.437729539584e-17
3289.6447746530894	1.1013983622135705e-20	1.1013983622135705e-20	3.430623690669001e-17
3289.84280887227	-1.7837555098270674e-18	-1.7837555098270674e-18	3.434333782132001e-17
3290.0408431013534	1.101343706225266e-20	1.101343706225266e-20	3.290762554128001e-17
3290.2388773304365	1.1013164038925261e-20	1.1013164038925261e-20	3.277489560303001e-17
3290.436911549617	-1.7836228550980664e-18	-1.7836228550980664e-18	3.279695104000001e-17
